id,value1,value2
228,25,92,71
229,97,39,16
230,68,33,16
231,29,56,32
232,50,43,81
233,53,93,69
234,56,65,29
235,64,17,93
236,67,88,16
237,75,41,23
238,49,99,24
239,40,81,1
240,43,29,30
241,65,92,32
242,47,5,56
243,27,2,67
244,57,85,73
245,9,95,83
246,84,40,84
247,60,1,66
248,13,41,55
249,27,59,66
250,80,50,69
251,12,7,45
252,88,92,85
253,13,41,67
254,10,88,45
255,84,7,24
256,40,12,7
257,75,65,25
258,90,5,99
259,78,29,65
260,6,96,90
261,59,32,34
262,91,44,92
263,78,39,54
264,21,38,35
265,61,6,42
266,33,79,67
267,79,33,54
268,59,77,24
269,51,31,88
270,95,89,7
271,90,70,69
272,26,31,94
273,30,58,63
274,10,68,100
275,16,98,18
276,17,14,43
277,32,60,40
278,16,61,22
279,65,29,48
280,83,27,20
281,88,20,1
282,71,58,97
283,58,66,94
284,26,7,69
285,85,80,96
286,13,11,100
287,87,94,3
288,91,16,77
289,66,25,37
290,31,48,11
291,58,69,44
292,20,70,22
293,65,57,33
294,68,37,54
295,58,23,3
296,47,94,21
297,4,54,14
298,62,79,44
299,2,59,65
300,9,72,36
301,3,6,78
302,36,20,1
303,78,12,55
304,54,22,54
305,73,63,87
306,43,23,85
307,67,83,30
308,74,45,58
309,4,75,47
310,4,4,97
311,13,67,72
312,52,87,57
313,29,13,11
314,78,3,6
315,33,95,13
316,83,45,26
317,74,49,35
318,100,15,71
319,35,12,55
320,92,73,88
321,87,34,97
322,33,94,20
323,49,82,18
324,7,97,53
325,91,3,11
326,75,87,85
327,67,99,7
328,40,69,82
329,70,83,22
330,27,44,74
331,88,64,90
332,25,45,70
333,72,25,16
334,100,76,24
335,73,62,22
336,46,94,66
337,23,36,6
338,48,67,64
339,42,6,57
340,29,32,8
341,81,82,13
342,25,59,81
343,16,16,18
344,75,50,75
345,77,48,57
346,41,14,38
347,84,29,83
348,94,71,16
349,68,6,37
350,53,95,44
351,11,10,76
352,33,53,71
353,99,36,78
354,33,46,92
355,76,41,93
356,62,21,79
357,18,19,90
358,6,82,93
359,8,95,23
360,62,70,91
361,14,35,25
362,54,23,5
363,48,19,99
364,34,82,99
365,11,63,46
366,93,4,8
367,67,77,37
368,83,17,36
369,59,60,8
370,10,68,61
371,89,30,18
372,47,2,73
373,76,42,37
374,27,20,70
375,49,48,30
376,75,6,66
377,69,29,93
378,34,67,95
379,39,18,96
380,76,61,68
381,71,71,61
382,62,88,16
383,37,44,36
384,18,47,23
385,18,95,76
386,70,36,95
387,20,76,82
388,26,75,38
389,55,16,70
390,4,58,64
391,51,17,82
392,61,6,70
393,99,80,83
394,71,75,32
395,25,72,61
396,42,32,58
397,44,27,20
398,45,91,32
399,98,71,88
400,36,6,86
401,53,4,18
402,67,6,74
403,56,14,1
404,55,7,48
405,36,78,15
406,87,12,66
407,17,44,65
408,65,41,11
409,37,74,23
410,34,6,59
411,77,21,30
412,16,80,76
413,4,55,50
414,3,81,81
415,37,47,8
416,5,69,79
417,41,27,82
418,75,99,2
419,86,88,71
420,58,87,59
421,63,57,3
422,42,26,55
423,33,12,88
424,63,41,64
425,69,3,81
426,38,71,76
427,60,67,71
428,60,15,79
429,11,38,78
430,76,61,30
431,6,78,39
432,64,13,97
433,43,33,49
434,79,49,30
435,1,18,19
436,72,67,90
437,97,34,58
438,58,95,37
439,96,44,15
440,6,26,17
441,54,65,50
442,7,33,70
443,38,59,97
444,39,7,9
445,66,47,68
446,83,74,38
447,78,71,82
448,4,88,58
449,3,32,29
450,85,62,23
451,84,39,43
452,56,89,62
453,55,95,70
454,4,32,80
455,2,98,10
456,32,27,16
457,90,35,97
458,11,45,55
459,13,1,21
460,50,66,30
461,49,47,75
462,19,81,30
463,47,92,22
464,37,6,3
465,51,12,12
466,5,92,100
467,5,50,78
468,8,95,19
469,96,73,55
470,75,35,81
471,18,39,98
472,36,35,21
473,32,6,62
474,66,62,25
475,100,39,61
476,17,9,52
477,71,7,23
478,2,82,41
479,75,36,70
480,73,79,25
481,66,47,7
482,28,95,47
483,54,78,36
484,79,22,15
485,85,82,77
486,90,17,43
487,36,87,89
488,66,16,81
489,87,87,21
490,52,42,45
491,92,21,5
492,91,72,73
493,35,20,55
494,28,68,39
495,34,32,95
496,91,19,53
497,15,31,99
498,9,66,94
499,63,72,25
500,84,49,9
501,58,27,24
502,51,99,64
503,94,63,42
504,96,68,38
505,71,43,42
506,28,63,30
507,27,50,20
508,85,77,91
509,85,73,79
510,93,18,60
511,53,36,99
512,2,4,11
513,27,13,17
514,43,1,46
515,10,43,10
516,78,66,21
517,45,93,97
518,39,93,2
519,61,19,93
520,16,47,28
521,39,32,69
522,34,23,36
523,27,40,32
524,77,65,64
525,34,45,35
526,74,87,86
527,43,8,59
528,93,66,45
529,86,35,51
530,43,22,27
531,26,31,65
532,91,50,16
533,78,90,21
534,84,13,61
535,31,26,56
536,87,47,4
537,25,44,67
538,25,49,77
539,92,38,49
540,30,82,87
541,20,58,44
542,11,25,35
543,95,1,40
544,98,90,57
545,22,18,91
546,24,81,56
547,95,27,1
548,45,10,63
549,3,80,65
550,63,76,24
551,78,21,43
552,56,84,4
553,54,95,87
554,18,100,62
555,97,94,32
556,91,94,8
557,79,72,4
558,92,48,9
559,98,70,7
560,82,10,54
561,75,87,39
562,49,100,56
563,40,35,29
564,61,54,41
565,99,48,59
566,22,22,64
567,66,100,12
568,47,25,99
569,6,97,93
570,42,77,50
571,7,82,91
572,4,24,27
573,97,28,21
574,96,41,83
575,89,74,12
576,83,99,31
577,12,11,42
578,62,53,75
579,62,71,83
580,62,21,50
581,6,46,100
582,95,88,93
583,10,91,17
584,2,41,6
585,46,22,8
586,75,39,43
587,6,37,59
588,54,31,82
589,75,15,85
590,65,91,44
591,78,29,40
592,5,39,78
593,5,76,77
594,58,72,78
595,85,43,80
596,5,52,54
597,23,54,32
598,55,19,39
599,76,64,41
600,31,59,8
601,21,90,73
602,46,78,99
603,91,80,42
604,46,41,83
605,11,9,24
606,86,74,16
607,71,33,52
608,71,28,27
609,40,43,85
610,48,47,59
611,63,37,21
612,2,16,25
613,96,41,29
614,72,49,74
615,24,97,75
616,82,78,79
617,22,52,41
618,75,94,40
619,73,100,46
620,24,65,79
621,96,11,31
622,71,41,29
623,99,23,30
624,90,48,29
625,91,23,60
626,88,1,49
627,57,59,61
628,81,36,48
629,37,75,49
630,57,25,29
631,61,5,98
632,5,53,27
633,10,88,12
634,5,65,40
635,6,61,80
636,87,43,20
637,72,49,79
638,27,20,47
639,86,20,37
640,95,67,94
641,23,28,55
642,77,4,15
643,50,66,3
644,52,32,26
645,86,51,41
646,54,21,52
647,4,54,2
648,92,93,24
649,13,43,26
650,30,9,50
651,47,39,42
652,25,60,84
653,77,81,81
654,19,97,49
655,27,6,97
656,83,44,5
657,97,93,5
658,36,90,54
659,97,31,72
660,96,50,100
661,27,80,42
662,64,55,16
663,45,38,21
664,52,72,12
665,55,52,66
666,25,36,1
667,34,14,50
668,53,83,74
669,66,19,31
670,9,50,26
671,87,56,49
672,39,86,98
673,41,76,57
674,35,42,11
675,29,24,19
676,55,78,8
677,19,34,63
678,11,51,68
679,5,97,29
680,83,44,88
681,51,68,73
682,16,93,45
683,22,77,39
684,73,89,88
685,84,93,13
686,73,15,24
687,14,3,48
688,85,100,87
689,42,16,21
690,70,74,36
691,5,74,9
692,21,65,22
693,71,68,54
694,8,70,25
695,20,7,49
696,32,100,57
697,35,50,72
698,72,6,96
699,67,17,7
700,89,73,6
701,72,97,22
702,14,37,51
703,2,78,67
704,19,43,74
705,69,92,96
706,27,61,39
707,42,66,96
708,67,36,45
709,47,98,79
710,33,26,62
711,36,24,63
712,49,48,21
713,10,70,52
714,20,99,51
715,2,26,76
716,65,82,13
717,54,17,100
718,19,90,62
719,14,97,46
720,36,22,60
721,38,85,22
722,70,79,15
723,77,85,65
724,70,81,3
725,90,48,50
726,17,90,1
727,52,47,52
728,9,88,35
729,46,51,79
730,17,71,78
731,8,38,60
732,25,86,84
733,30,20,20
734,70,78,22
735,89,75,26
736,47,91,49
737,99,74,53
738,33,45,89
739,88,94,20
740,56,63,29
741,85,45,94
742,15,67,72
743,34,55,7
744,16,26,17
745,2,9,29
746,27,28,36
747,12,23,54
748,37,99,88
749,70,40,50
750,68,66,73
751,97,90,83
752,21,2,55
753,14,83,6
754,13,75,98
755,87,30,39
756,14,26,43
757,7,39,38
758,96,32,85
759,95,100,71
760,3,46,80
761,6,90,21
762,16,50,66
763,97,32,92
764,56,96,53
765,36,87,43
766,37,78,12
767,92,75,74
768,90,88,30
769,66,84,77
770,6,7,23
771,41,93,2
772,28,30,11
773,45,12,7
774,12,18,63
775,74,73,81
776,49,23,99
777,6,90,9
778,27,92,83
779,22,89,26
780,58,12,34
781,68,58,6
782,53,45,44
783,26,99,89
784,64,16,37
785,29,67,77
786,71,10,82
787,33,84,22
788,96,35,23
789,18,81,80
790,5,65,48
791,90,33,43
792,55,18,48
793,62,85,69
794,87,88,28
795,45,26,89
796,51,54,29
797,27,36,1
798,85,81,20
799,15,68,38
800,51,91,59
801,86,13,25
802,82,64,12
803,79,26,4
804,60,52,14
805,62,99,17
806,92,88,36
807,61,32,32
808,26,86,38
809,25,10,90
810,100,37,89
811,45,62,2
812,65,100,55
813,7,11,34
814,56,30,44
815,64,56,45
816,27,75,23
817,42,62,13
818,51,10,68
819,2,53,33
820,99,95,46
821,58,63,81
822,20,72,75
823,62,21,88
824,16,68,87
825,22,17,3
826,80,99,86
827,14,37,63
828,47,33,88
829,50,22,64
830,83,55,35
831,53,46,95
832,24,11,56
833,41,3,95
834,38,54,39
835,79,86,100
836,73,2,75
837,96,97,6
838,27,14,1
839,76,4,76
840,40,22,56
841,48,48,91
842,91,5,82
843,62,15,6
844,90,100,22
845,25,64,43
846,47,68,76
847,80,11,20
848,89,89,64
849,24,58,23
850,71,70,37
851,4,39,92
852,8,19,30
853,93,73,80
854,82,27,22
855,67,76,47
856,6,43,77
857,34,11,36
858,56,68,42
859,90,93,49
860,76,61,93
861,92,62,41
862,94,51,15
863,29,30,29
864,28,28,63
865,43,30,78
866,87,66,16
867,65,97,99
868,89,79,56
869,48,87,66
870,43,61,13
871,7,11,18
872,11,27,29
873,12,38,8
874,10,93,9
875,22,40,37
876,58,100,95
877,66,19,10
878,11,2,6
879,41,34,47
880,54,13,35
881,8,36,50
882,66,58,75
883,46,32,92
884,65,4,28
885,41,10,12
886,1,60,34
887,91,58,24
888,96,73,38
889,39,60,89
890,9,6,88
891,33,6,55
892,19,46,45
893,4,82,44
894,26,58,84
895,10,88,18
896,40,30,62
897,27,93,31
898,3,80,58
899,37,93,53
900,43,37,99
901,22,58,79
902,20,49,3
903,71,13,97
904,75,76,11
905,83,62,52
906,37,76,56
907,58,86,47
908,69,48,84
909,51,9,71
910,34,66,10
911,2,40,2
912,49,34,51
913,83,61,76
914,24,41,50
915,66,65,56
916,93,61,87
917,4,19,45
918,7,57,5
919,33,56,13
920,6,54,10
921,49,3,32
922,22,41,98
923,9,81,38
924,71,86,17
925,80,25,20
926,47,10,86
927,87,41,15
928,65,44,58
929,9,8,82
930,21,60,84
931,8,52,98
932,12,6,60
933,82,93,41
934,6,99,5
935,10,53,99
936,14,68,30
937,48,43,46
938,15,44,71
939,42,40,43
940,85,86,8
941,9,37,14
942,40,91,7
943,37,57,79
944,3,39,29
945,6,98,49
946,29,83,37
947,19,57,43
948,37,84,10
949,76,10,8
950,12,47,62
951,3,40,77
952,35,74,17
953,88,55,71
954,90,31,55
955,71,84,3
956,61,70,28
957,94,33,16
958,20,70,55
959,56,14,43
960,43,94,65
961,34,92,38
962,58,62,48
963,98,13,23
964,74,1,50
965,8,80,68
966,55,49,81
967,48,7,94
968,48,79,67
969,88,8,54
970,35,38,81
971,10,73,17
972,98,22,50
973,66,99,83
974,89,25,16
975,12,13,35
976,92,69,22
977,84,53,45
978,50,64,48
979,23,38,100
980,52,52,20
981,2,87,2
982,95,73,54
983,16,28,88
984,84,29,70
985,22,58,95
986,22,50,36
987,34,77,17
988,18,24,48
989,84,8,78
990,56,13,48
991,39,28,11
992,20,37,72
993,17,62,52
994,35,76,49
995,5,51,22
996,31,47,63
997,31,25,12
998,3,59,48
999,61,4,95
1000,72,85,13
1001,34,75,67
1002,63,75,50
1003,93,56,29
1004,46,66,87
1005,61,16,61
1006,8,45,44
1007,94,20,66
1008,89,48,54
1009,68,59,22
1010,89,80,64
1011,31,98,50
1012,10,55,47
1013,43,44,2
1014,61,2,42
1015,55,93,95
1016,61,9,27
1017,38,89,92
1018,94,12,5
1019,31,44,39
1020,95,51,49
1021,75,23,4
1022,20,40,81
1023,33,10,65
1024,42,44,44
1025,13,32,80
1026,50,76,81
1027,55,7,3
1028,28,13,74
1029,34,29,59
1030,87,38,13
1031,9,16,22
1032,86,74,87
1033,4,75,78
1034,2,46,68
1035,86,84,57
1036,6,62,25
1037,10,66,88
1038,7,81,89
1039,58,76,91
1040,32,90,51
1041,71,47,45
1042,14,75,56
1043,40,44,53
1044,35,60,92
1045,72,23,92
1046,86,41,88
1047,76,32,98
1048,41,96,70
1049,77,26,19
1050,10,5,31
1051,13,9,61
1052,48,48,96
1053,45,76,32
1054,73,93,89
1055,17,25,67
1056,21,72,40
1057,11,20,9
1058,70,38,4
1059,50,61,26
1060,46,59,5
1061,86,92,19
1062,66,16,27
1063,35,90,48
1064,49,95,5
1065,61,53,57
1066,8,82,83
1067,46,57,23
1068,24,18,41
1069,65,67,97
1070,69,58,5
1071,7,17,66
1072,87,19,27
1073,79,22,75
1074,32,100,80
1075,13,18,59
1076,71,24,50
1077,9,15,89
1078,100,19,13
1079,74,28,80
1080,29,41,74
1081,76,54,45
1082,31,26,97
1083,34,36,8
1084,62,56,82
1085,59,61,89
1086,25,32,85
1087,83,37,69
1088,89,75,71
1089,12,78,77
1090,36,45,39
1091,93,28,31
1092,58,4,64
1093,84,85,8
1094,31,56,6
1095,86,85,26
1096,4,79,10
1097,4,71,75
1098,72,74,10
1099,73,77,33
1100,24,33,18
1101,39,66,29
1102,79,43,24
1103,48,36,67
1104,9,74,64
1105,88,59,88
1106,16,20,80
1107,12,67,9
1108,93,64,5
1109,32,39,34
1110,95,24,64
1111,3,74,29
1112,76,32,60
1113,32,1,37
1114,68,2,25
1115,73,61,95
1116,2,96,45
1117,74,74,75
1118,85,80,2
1119,33,30,77
1120,52,36,64
1121,76,74,76
1122,65,50,17
1123,86,60,81
1124,29,66,92
1125,45,42,84
1126,1,82,32
1127,55,90,47
1128,94,44,95
1129,27,33,85
1130,25,47,3
1131,81,40,81
1132,100,59,83
1133,91,80,29
1134,64,96,83
1135,11,23,26
1136,16,96,37
1137,5,7,57
1138,62,33,68
1139,73,34,73
1140,58,15,88
1141,5,63,42
1142,1,19,35
1143,98,11,34
1144,24,44,53
1145,21,68,32
1146,68,26,92
1147,94,5,9
1148,11,59,82
1149,36,57,92
1150,8,98,31
1151,27,58,54
1152,17,42,28
1153,37,31,83
1154,4,32,50
1155,90,99,93
1156,83,68,11
1157,36,94,67
1158,8,88,11
1159,93,44,41
1160,70,28,13
1161,44,62,23
1162,17,48,94
1163,91,4,45
1164,55,61,49
1165,48,82,24
1166,76,29,26
1167,3,42,13
1168,94,27,67
1169,79,59,2
1170,63,2,53
1171,82,51,60
1172,13,24,77
1173,53,6,40
1174,66,76,42
1175,88,36,50
1176,9,85,83
1177,66,86,5
1178,22,28,88
1179,7,40,79
1180,16,40,7
1181,27,50,25
1182,2,21,88
1183,64,77,51
1184,29,28,76
1185,90,6,19
1186,96,45,46
1187,51,88,41
1188,9,5,80
1189,27,47,92
1190,43,41,54
1191,28,20,7
1192,23,91,81
1193,18,60,94
1194,64,71,27
1195,82,54,21
1196,82,55,97
1197,14,20,61
1198,78,13,4
1199,26,64,98
1200,22,15,47
1201,70,32,19
1202,95,22,9
1203,74,3,95
1204,70,53,18
1205,56,69,50
1206,22,46,3
1207,88,25,74
1208,54,45,98
1209,31,82,7
1210,59,80,4
1211,65,37,71
1212,48,35,100
1213,13,27,93
1214,68,41,77
1215,56,24,14
1216,9,5,83
1217,14,20,93
1218,27,17,30
1219,84,74,40
1220,28,100,29
1221,8,57,54
1222,91,28,6
1223,84,44,5
1224,7,7,96
1225,90,83,7
1226,95,97,50
1227,83,51,15
1228,7,16,66
1229,61,72,83
1230,54,76,90
1231,83,60,98
1232,44,75,11
1233,98,27,74
1234,63,13,40
1235,71,80,70
1236,94,39,7
1237,18,68,4
1238,71,1,59
1239,72,56,34
1240,10,72,70
1241,63,10,94
1242,12,26,66
1243,92,3,52
1244,56,89,65
1245,77,54,46
1246,79,69,90
1247,6,60,96
1248,64,1,99
1249,93,48,51
1250,64,94,70
1251,31,69,92
1252,65,75,41
1253,10,23,85
1254,60,81,20
1255,49,100,65
1256,98,70,12
1257,99,35,83
1258,44,14,51
1259,99,58,97
1260,17,32,52
1261,9,1,46
1262,33,33,97
1263,91,93,1
1264,45,91,91
1265,21,75,84
1266,82,6,79
1267,85,50,58
1268,62,45,83
1269,44,12,85
1270,67,1,29
1271,73,84,14
1272,88,23,98
1273,61,95,91
1274,45,54,61
1275,86,44,73
1276,23,54,66
1277,22,81,61
1278,57,21,33
1279,46,35,21
1280,86,65,86
1281,64,41,16
1282,31,7,43
1283,33,31,37
1284,35,27,44
1285,100,13,23
1286,24,60,97
1287,98,100,16
1288,55,17,83
1289,75,57,35
1290,8,76,29
1291,74,36,80
1292,54,11,76
1293,6,13,70
1294,68,23,9
1295,85,35,63
1296,73,35,46
1297,37,26,67
1298,75,82,18
1299,11,89,6
1300,87,62,27
1301,58,63,54
1302,97,8,64
1303,99,30,13
1304,99,56,85
1305,48,72,44
1306,6,35,30
1307,99,35,7
1308,20,41,46
1309,73,56,73
1310,46,23,47
1311,41,28,79
1312,18,33,73
1313,60,46,60
1314,44,44,68
1315,96,90,64
1316,11,31,6
1317,27,40,37
1318,72,1,21
1319,100,76,37
1320,70,20,34
1321,79,60,68
1322,18,46,10
1323,29,87,30
1324,72,98,2
1325,6,76,72
1326,60,88,15
1327,1,76,74
1328,47,28,75
1329,76,36,85
1330,8,81,79
1331,27,61,70
1332,21,10,9
1333,100,44,81
1334,74,85,52
1335,41,79,53
1336,81,41,65
1337,12,66,19
1338,59,87,71
1339,47,73,49
1340,100,62,65
1341,24,34,32
1342,76,31,40
1343,34,33,27
1344,39,40,34
1345,27,82,65
1346,15,37,62
1347,67,34,73
1348,46,1,54
1349,20,95,85
1350,9,72,34
1351,82,1,12
1352,99,24,50
1353,84,98,57
1354,9,28,7
1355,96,55,26
1356,8,62,30
1357,84,18,66
1358,20,9,52
1359,66,36,67
1360,51,62,98
1361,67,27,68
1362,63,63,72
1363,1,78,96
1364,92,87,1
1365,78,20,90
1366,38,96,100
1367,36,38,66
1368,42,81,92
1369,52,9,87
1370,88,74,2
1371,92,11,80
1372,52,29,85
1373,19,42,2
1374,86,89,55
1375,34,98,53
1376,55,29,71
1377,99,49,20
1378,18,26,87
1379,90,91,12
1380,22,15,3
1381,72,48,73
1382,21,37,32
1383,61,27,51
1384,26,80,4
1385,29,30,74
1386,56,84,8
1387,85,66,61
1388,61,21,76
1389,100,48,73
1390,74,45,2
1391,11,50,100
1392,2,82,2
1393,16,87,40
1394,84,35,48
1395,86,9,10
1396,17,40,99
1397,51,28,44
1398,24,94,66
1399,51,77,51
1400,25,81,68
1401,86,4,40
1402,68,25,35
1403,60,68,95
1404,92,25,12
1405,69,84,57
1406,22,21,69
1407,24,8,2
1408,15,69,1
1409,63,94,17
1410,38,85,27
1411,49,73,58
1412,91,80,62
1413,25,82,62
1414,41,97,27
1415,50,71,90
1416,97,90,8
1417,70,100,32
1418,84,62,78
1419,71,56,64
1420,84,22,46
1421,67,44,8
1422,10,12,32
1423,69,85,92
1424,12,36,43
1425,32,19,24
1426,21,78,67
1427,9,68,19
1428,83,99,94
1429,87,65,30
1430,74,84,17
1431,72,37,21
1432,33,66,85
1433,45,11,88
1434,93,47,43
1435,28,55,60
1436,33,7,73
1437,92,41,98
1438,28,33,65
1439,1,39,17
1440,50,18,57
1441,69,69,87
1442,92,73,54
1443,65,34,32
1444,83,37,89
1445,14,7,95
1446,85,91,17
1447,16,74,73
1448,3,89,36
1449,32,58,48
1450,20,43,28
1451,21,77,93
1452,29,7,35
1453,53,56,95
1454,46,78,69
1455,40,67,70
1456,6,10,56
1457,28,3,17
1458,77,33,86
1459,62,64,61
1460,23,95,79
1461,20,13,1
1462,30,21,54
1463,15,32,12
1464,71,63,53
1465,68,12,28
1466,20,63,100
1467,5,43,68
1468,71,41,74
1469,82,67,37
1470,52,57,11
1471,12,10,65
1472,30,74,32
1473,98,22,49
1474,51,29,31
1475,99,39,77
1476,39,50,72
1477,56,77,69
1478,44,76,97
1479,60,29,49
1480,51,20,48
1481,63,87,45
1482,85,10,27
1483,50,68,83
1484,20,83,47
1485,60,64,74
1486,27,86,25
1487,23,73,63
1488,10,45,53
1489,10,77,93
1490,32,4,9
1491,85,35,72
1492,54,36,59
1493,6,89,1
1494,79,38,31
1495,94,47,3
1496,37,83,57
1497,70,15,88
1498,32,16,4
1499,95,16,86
1500,47,3,69
1501,70,51,5
1502,68,15,79
1503,74,6,80
1504,23,65,83
1505,26,14,35
1506,65,73,19
1507,17,62,48
1508,53,32,45
1509,39,60,42
1510,34,38,14
1511,22,52,38
1512,64,13,51
1513,53,57,28
1514,69,19,74
1515,39,39,69
1516,58,80,89
1517,9,7,63
1518,45,79,20
1519,46,95,98
1520,39,84,38
1521,61,51,35
1522,98,61,33
1523,100,58,57
1524,8,95,32
1525,70,24,11
1526,98,95,18
1527,76,63,33
1528,77,78,54
1529,64,72,46
1530,11,6,50
1531,9,88,5
1532,98,12,13
1533,22,1,82
1534,51,54,81
1535,74,67,76
1536,46,84,91
1537,18,29,86
1538,70,36,72
1539,85,9,73
1540,71,6,48
1541,19,64,73
1542,40,54,75
1543,40,36,1
1544,58,80,55
1545,45,26,38
1546,68,2,43
1547,34,82,82
1548,57,50,53
1549,8,85,68
1550,73,62,56
1551,17,11,72
1552,13,30,96
1553,33,52,76
1554,13,8,29
1555,54,82,63
1556,23,58,90
1557,50,44,48
1558,83,11,70
1559,15,44,65
1560,44,30,28
1561,63,63,71
1562,22,67,8
1563,50,78,9
1564,97,53,40
1565,47,89,32
1566,49,93,30
1567,56,75,58
1568,34,69,79
1569,94,18,72
1570,65,73,28
1571,60,38,91
1572,65,1,13
1573,75,27,73
1574,2,49,31
1575,43,3,16
1576,38,30,63
1577,58,65,61
1578,60,91,2
1579,1,40,95
1580,27,5,63
1581,60,81,97
1582,76,8,10
1583,72,75,32
1584,19,70,20
1585,73,73,99
1586,84,53,8
1587,76,69,47
1588,5,76,4
1589,76,3,1
1590,35,97,81
1591,48,100,52
1592,94,5,24
1593,78,8,27
1594,90,6,3
1595,5,54,35
1596,99,26,94
1597,45,22,24
1598,59,25,40
1599,61,74,32
1600,49,13,12
1601,25,42,20
1602,62,77,50
1603,19,3,10
1604,90,61,49
1605,31,34,72
1606,2,94,2
1607,94,9,46
1608,60,56,66
1609,71,89,100
1610,38,72,30
1611,91,21,76
1612,18,72,93
1613,28,10,10
1614,27,75,72
1615,32,83,79
1616,6,76,16
1617,95,48,45
1618,49,54,26
1619,61,38,46
1620,57,95,12
1621,6,30,67
1622,60,33,66
1623,40,13,39
1624,8,50,6
1625,57,81,79
1626,26,7,72
1627,89,60,76
1628,52,49,64
1629,55,42,44
1630,52,84,96
1631,86,92,37
1632,4,35,20
1633,84,62,11
1634,39,56,72
1635,36,83,97
1636,57,81,12
1637,41,87,51
1638,72,88,43
1639,32,27,58
1640,23,48,49
1641,25,60,44
1642,85,71,57
1643,70,52,88
1644,11,87,29
1645,4,80,14
1646,92,96,99
1647,64,54,3
1648,96,96,53
1649,1,16,18
1650,73,100,50
1651,31,11,43
1652,11,13,62
1653,44,79,69
1654,8,37,49
1655,17,66,84
1656,55,72,46
1657,22,17,63
1658,58,25,59
1659,66,64,83
1660,44,8,35
1661,51,86,42
1662,80,60,82
1663,59,30,69
1664,11,76,78
